l,Volume,ExecutionTime,Provider,TotalScore,TotalMaxScore,QuestionCount,Completeness
1,167,2026-02-01 02:40:21,Gemini,77,100,9/9,100%
2,167,2026-02-01 02:54:47,Gemini,80,100,9/9,100%
3,167,2026-02-01 03:12:59,Gemini,82,100,9/9,100%
4,167,2026-02-01 03:24:34,Gemini,81,100,9/9,100%
5,167,2026-02-01 03:39:15,Gemini,79,100,9/9,100%
6,167,2026-02-01 04:00:47,OpenAI,17.5,100,9/9,100%
7,167,2026-02-01 04:02:05,OpenAI,20.5,100,9/9,100%
8,167,2026-02-01 04:07:02,OpenAI,17.5,100,9/9,100%
9,167,2026-02-01 04:45:18,Gemini,82,100,9/9,100%
10,167,2026-02-01 04:45:18,OpenAI,19.5,100,9/9,100%
11,167,2026-02-01 04:56:51,Gemini,80,100,9/9,100%
12,167,2026-02-01 04:56:51,OpenAI,18.5,100,9/9,100%
13,167,2026-02-01 05:11:34,Gemini,77,100,9/9,100%
14,167,2026-02-01 05:11:34,OpenAI,19.5,100,9/9,100%
15,167,2026-02-01 05:25:16,Gemini,80,100,9/9,100%
16,167,2026-02-01 05:25:16,OpenAI,15.5,100,9/9,100%
17,167,2026-02-01 05:35:51,Gemini,78,100,9/9,100%
18,167,2026-02-01 05:35:51,OpenAI,17.5,100,9/9,100%
19,167,2026-02-01 10:35:47,OpenAI,17.5,100,9/9,100%
20,167,2026-02-01 10:36:55,OpenAI,18.5,100,9/9,100%
21,167,2026-02-01 10:38:00,OpenAI,16.5,100,9/9,100%
