l,volume,execution_time,id,provider,score_obtained,score_max,status,ai_answer,correct_answer,error,label,latency,mismatches,system_prompt,type,user_prompt
1,10,2026-01-03 09:48:39,Q1-1,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,26881,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (1) 仕訳問題 

## 背景
株式会社を設立するために発起人が立て替えていた定款作成費用や設立登録免許税など¥800,000を精算し、現金で支払った。また、営業開始を告知するためのチラシの印刷代¥77,000についても現金で支払った。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費"
2,10,2026-01-03 10:04:13,Q1-1,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,20412,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (1) 仕訳問題 

## 背景
株式会社を設立するために発起人が立て替えていた定款作成費用や設立登録免許税など¥800,000を精算し、現金で支払った。また、営業開始を告知するためのチラシの印刷代¥77,000についても現金で支払った。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費"
3,10,2026-01-03 10:22:47,Q1-1,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,35735,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (1) 仕訳問題 

## 背景
株式会社を設立するために発起人が立て替えていた定款作成費用や設立登録免許税など¥800,000を精算し、現金で支払った。また、営業開始を告知するためのチラシの印刷代¥77,000についても現金で支払った。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費"
4,10,2026-01-03 09:48:39,Q1-1,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""広告宣伝費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":800000},{""account"":""現金"",""amount"":77000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,1367,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":877000}],\""day\"":null,\""debit\"":[{\""account\"":\""開業費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":77000},{\""account\"":\""現金\"",\""amount\"":800000}],\""day\"":null,\""debit\"":[{\""account\"":\""広告宣伝費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (1) 仕訳問題 

## 背景
株式会社を設立するために発起人が立て替えていた定款作成費用や設立登録免許税など¥800,000を精算し、現金で支払った。また、営業開始を告知するためのチラシの印刷代¥77,000についても現金で支払った。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費"
5,10,2026-01-03 10:04:13,Q1-1,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""広告宣伝費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":800000},{""account"":""現金"",""amount"":77000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,1463,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":877000}],\""day\"":null,\""debit\"":[{\""account\"":\""開業費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":77000},{\""account\"":\""現金\"",\""amount\"":800000}],\""day\"":null,\""debit\"":[{\""account\"":\""広告宣伝費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (1) 仕訳問題 

## 背景
株式会社を設立するために発起人が立て替えていた定款作成費用や設立登録免許税など¥800,000を精算し、現金で支払った。また、営業開始を告知するためのチラシの印刷代¥77,000についても現金で支払った。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費"
6,10,2026-01-03 10:22:47,Q1-1,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""広告宣伝費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":800000},{""account"":""現金"",""amount"":77000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,1513,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":877000}],\""day\"":null,\""debit\"":[{\""account\"":\""開業費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":77000},{\""account\"":\""現金\"",\""amount\"":800000}],\""day\"":null,\""debit\"":[{\""account\"":\""広告宣伝費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (1) 仕訳問題 

## 背景
株式会社を設立するために発起人が立て替えていた定款作成費用や設立登録免許税など¥800,000を精算し、現金で支払った。また、営業開始を告知するためのチラシの印刷代¥77,000についても現金で支払った。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
現金, 契約資産, 立替金, 前払金, 資本金, 広告宣伝費, 創立費, 開業費"
7,10,2026-01-03 09:48:39,Q1-2,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,14419,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (2) 仕訳問題 

## 背景
決算に際し、商品売買やその他の取引に関連する消費税の納付額を算定し、確定した。なお、当期中に支払った消費税の総額は¥2,300,000であったのに対し、受け取った消費税の総額は¥2,060,000であった。消費税は税抜方式によって処理している。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課"
8,10,2026-01-03 10:04:13,Q1-2,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,19607,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (2) 仕訳問題 

## 背景
決算に際し、商品売買やその他の取引に関連する消費税の納付額を算定し、確定した。なお、当期中に支払った消費税の総額は¥2,300,000であったのに対し、受け取った消費税の総額は¥2,060,000であった。消費税は税抜方式によって処理している。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課"
9,10,2026-01-03 10:22:47,Q1-2,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,20205,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (2) 仕訳問題 

## 背景
決算に際し、商品売買やその他の取引に関連する消費税の納付額を算定し、確定した。なお、当期中に支払った消費税の総額は¥2,300,000であったのに対し、受け取った消費税の総額は¥2,060,000であった。消費税は税抜方式によって処理している。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課"
10,10,2026-01-03 09:48:39,Q1-2,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未払消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000},{""account"":""未払消費税"",""amount"":240000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,2345,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""未収還付消費税\"",\""amount\"":240000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000},{\""account\"":\""未払消費税\"",\""amount\"":240000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""未払消費税\"",\""amount\"":240000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,"# 問題: 第1問 (2) 仕訳問題 

## 背景
決算に際し、商品売買やその他の取引に関連する消費税の納付額を算定し、確定した。なお、当期中に支払った消費税の総額は¥2,300,000であったのに対し、受け取った消費税の総額は¥2,060,000であった。消費税は税抜方式によって処理している。 

## 指示
適切な勘定科目と金額のリストを作成して解答しなさい。
[選択肢] 仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課 

## 解答用紙(Markdown)
以下の表の()部分を埋めて完成させなさい。
| 借方科目 | 金額 | 貸方科目 | 金額 |
| : --- | : --- | : --- | : --- |
| (　) | (　) | (　) | (　) |
| (　) | (　) | (　) | (　) | 

## 選択肢
以下のリストから最も適切なものを選んで解答してください。
仮払消費税, 仮払法人税等, 未収還付消費税, 未収還付法人税等, 仮受消費税, 未払消費税, 未払法人税等, 租税公課"
