l,volume,execution_time,id,provider,score_obtained,score_max,status,ai_answer,correct_answer,error,label,latency,mismatches,system_prompt,type,tac_id,model_id
1,10,2026-01-03 09:48:39,Q1-1,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,26881,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
2,10,2026-01-03 10:04:13,Q1-1,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,20412,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
3,10,2026-01-03 10:22:47,Q1-1,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,35735,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
4,10,2026-01-03 09:48:39,Q1-1,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""広告宣伝費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":800000},{""account"":""現金"",""amount"":77000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,1367,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":877000}],\""day\"":null,\""debit\"":[{\""account\"":\""開業費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":77000},{\""account\"":\""現金\"",\""amount\"":800000}],\""day\"":null,\""debit\"":[{\""account\"":\""広告宣伝費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
5,10,2026-01-03 10:04:13,Q1-1,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""広告宣伝費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":800000},{""account"":""現金"",""amount"":77000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,1463,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":877000}],\""day\"":null,\""debit\"":[{\""account\"":\""開業費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":77000},{\""account\"":\""現金\"",\""amount\"":800000}],\""day\"":null,\""debit\"":[{\""account\"":\""広告宣伝費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
6,10,2026-01-03 10:22:47,Q1-1,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""広告宣伝費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":800000},{""account"":""現金"",""amount"":77000}]}","[{""debit"":[{""account"":""創立費"",""amount"":800000},{""account"":""開業費"",""amount"":77000}],""credit"":[{""account"":""現金"",""amount"":877000}]}]",,第1問 (1) 仕訳問題,1513,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":877000}],\""day\"":null,\""debit\"":[{\""account\"":\""開業費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""現金\"",\""amount\"":77000},{\""account\"":\""現金\"",\""amount\"":800000}],\""day\"":null,\""debit\"":[{\""account\"":\""広告宣伝費\"",\""amount\"":77000},{\""account\"":\""創立費\"",\""amount\"":800000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
7,10,2026-01-03 09:48:39,Q1-2,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,14419,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
8,10,2026-01-03 10:04:13,Q1-2,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,19607,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
9,10,2026-01-03 10:22:47,Q1-2,Gemini,4,4,PERFECT,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,20205,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gemini-3-pro-preview
10,10,2026-01-03 09:48:39,Q1-2,OpenAI,0,4,FAIL,"{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未払消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000},{""account"":""未払消費税"",""amount"":240000}]}","[{""debit"":[{""account"":""仮受消費税"",""amount"":2060000},{""account"":""未収還付消費税"",""amount"":240000}],""credit"":[{""account"":""仮払消費税"",""amount"":2300000}]}]",,第1問 (2) 仕訳問題,2345,"[""Missing/Incorrect Entry: {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""未収還付消費税\"",\""amount\"":240000}]}"",""Extra Entry (AI): {\""credit\"":[{\""account\"":\""仮払消費税\"",\""amount\"":2300000},{\""account\"":\""未払消費税\"",\""amount\"":240000}],\""day\"":null,\""debit\"":[{\""account\"":\""仮受消費税\"",\""amount\"":2060000},{\""account\"":\""未払消費税\"",\""amount\"":240000}]}""]",あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade2_volume10,gpt-5.2
